source_gene,target_gene,is_true_edge,full_model_importance,no_priors_importance
ANKRD6,CEP152,False,6.9986696,8.695455
ANKRD6,CEP55,False,4.928549,6.202836
ANKRD6,CEP57L1,False,7.6784062,9.698065
ANKRD6,CEP70,False,13.490925,17.18974
ANKRD6,CER1,False,4.928549,6.202836
ANKRD6,CFL2,False,12.192817,15.984733
ANKRD6,CGRRF1,False,15.488642,19.044176
ANKRD6,CHEK2,False,13.085632,16.813515
ANKRD6,CHL1,False,4.928549,6.202836
ANKRD6,CHUK,False,15.438946,18.998045
ANKRD6,CKAP2L,False,11.235398,14.944618
ANKRD6,CLDN11,False,6.9348235,8.601281
ANKRD6,CLDN12,False,13.599129,17.290184
ANKRD6,CLGN,False,4.928549,6.202836
ANKRD6,CLK1,False,11.235398,14.944618
ANKRD6,CLK4,False,4.928549,6.202836
ANKRD6,CLOCK,False,10.324968,13.601734
ANKRD6,CLP1,False,4.928549,6.202836
ANKRD6,CNKSR3,False,4.928549,6.202836
ANKRD6,CNOT10,False,10.372759,13.672225
ANKRD6,CNOT6L,False,4.928549,6.202836
ANKRD6,CNOT8,False,14.600741,18.21996
ANKRD6,CNTRL,False,3.4541116,3.1471398
ANKRD6,COBLL1,False,4.928549,6.202836
ANKRD6,COCH,False,4.928549,6.202836
ANKRD6,COL1A2,False,8.636887,11.111819
ANKRD6,COL4A1,False,8.826147,11.39098
ANKRD6,COL4A6,False,4.928549,6.202836
ANKRD6,COL5A1,False,4.928549,6.202836
ANKRD6,COL5A2,False,4.928549,6.202836
ANKRD6,COLEC12,False,4.928549,6.202836
ANKRD6,COMMD10,False,13.572369,17.265343
ANKRD6,COMMD8,False,10.276193,13.529793
ANKRD6,COQ3,False,12.153855,15.9485655
ANKRD6,COQ5,False,4.928549,6.202836
ANKRD6,COX11,False,13.805108,17.48139
ANKRD6,CPE,False,4.928549,6.202836
ANKRD6,CPEB4,False,4.928549,6.202836
ANKRD6,CPNE8,False,13.601793,17.292656
ANKRD6,CPVL,False,4.928549,6.202836
ANKRD6,CREBL2,False,7.6784062,9.698065
ANKRD6,CRHBP,False,4.928549,6.202836
ANKRD6,CRISPLD1,False,3.4541116,3.1471398
ANKRD6,CRNKL1,False,15.856302,19.385471
ANKRD6,CRYZL1,False,3.4541116,3.1471398
ANKRD6,CSNK1G3,False,19.03172,22.334599
ANKRD6,CSTF1,False,15.406108,18.967564
ANKRD6,CTSK,False,10.764302,14.249753
ANKRD6,CUL1,False,15.492511,19.047771
ANKRD6,CUL2,False,4.928549,6.202836
ANKRD6,CUL4B,False,14.190809,17.839428
ANKRD6,CUTC,False,4.928549,6.202836
ANKRD6,CWC22,False,16.657234,20.128956
ANKRD6,CYP1B1,False,4.928549,6.202836
ANKRD6,CYP26A1,False,4.928549,6.202836
ANKRD6,DAAM1,False,4.1714067,3.8755202
ANKRD6,DARS2,False,15.024579,18.613398
ANKRD6,DCAF6,False,4.681694,4.8733397
ANKRD6,DCK,False,10.598224,14.004786
ANKRD6,DCLK1,False,8.826147,11.39098
ANKRD6,DCLRE1C,False,18.425758,21.770638
ANKRD6,DCTN4,False,3.4541116,3.1471398
ANKRD6,DCUN1D4,False,21.464567,25.232193
ANKRD6,DDAH1,False,19.837988,23.294888
ANKRD6,DDHD2,False,4.928549,6.202836
ANKRD6,DDX20,False,14.538114,18.161823
ANKRD6,DECR1,False,6.041277,7.283302
ANKRD6,DENND4C,False,16.67987,20.14997
ANKRD6,DEPDC1,False,7.3628592,9.232633
ANKRD6,DEPDC1B,False,5.4022365,6.282295
ANKRD6,DERA,False,4.928549,6.202836
ANKRD6,DIAPH3,False,11.235398,14.944618
ANKRD6,DKK1,False,4.928549,6.202836
ANKRD6,DKK4,False,4.928549,6.202836
ANKRD6,DLC1,False,4.928549,6.202836
ANKRD6,DLGAP5,False,19.487299,22.877209
ANKRD6,DNA2,False,12.865337,16.60902
ANKRD6,DNAAF2,False,15.519811,19.073112
ANKRD6,DNAJB14,False,9.844932,12.893682
ANKRD6,DNAJB4,False,15.114752,18.697102
ANKRD6,DNAJB9,False,11.168753,14.846313
ANKRD6,DOCK11,False,4.928549,6.202836
ANKRD6,DOCK4,False,4.928549,6.202836
ANKRD6,DOCK7,False,7.187763,8.974366
ANKRD6,DPYSL3,False,17.316078,20.740547
ANKRD6,DRAM2,False,4.928549,6.202836
ANKRD6,DSCC1,False,12.034494,15.837767
ANKRD6,DTL,False,18.23653,21.594982
ANKRD6,DTWD1,False,4.1714067,3.8755202
ANKRD6,DUSP10,False,4.928549,6.202836
ANKRD6,DUSP11,False,6.041277,7.283302
ANKRD6,DUSP12,False,3.4541116,3.1471398
ANKRD6,DUSP4,False,3.4452612,3.1693437
ANKRD6,DYNC2H1,False,5.0780754,5.648427
ANKRD6,DYNC2LI1,False,4.928549,6.202836
ANKRD6,DYNLT3,False,11.01011,14.612316
ANKRD6,DYRK1A,False,5.7261953,6.8185577
ANKRD6,DYRK2,False,4.928549,6.202836
ANKRD6,E2F5,False,6.7167773,8.279663
ANKRD6,ECD,False,14.050854,17.70951
ANKRD6,ECI2,False,15.406108,18.967564
ANKRD6,ECT2,False,17.060377,20.503185
ANKRD6,EDEM1,False,9.703608,12.685228
ANKRD6,EED,False,4.681694,4.8733397
ANKRD6,EFNA5,False,17.936481,21.316454
ANKRD6,EGLN3,False,4.928549,6.202836
ANKRD6,ELL2,False,12.418459,16.194193
ANKRD6,ELMO1,False,3.4541116,3.1471398
ANKRD6,ELMOD2,False,14.640572,18.256931
ANKRD6,ELOVL2,False,4.928549,6.202836
ANKRD6,ELP2,False,4.928549,6.202836
ANKRD6,ENC1,False,4.928549,6.202836
ANKRD6,EOMES,False,4.928549,6.202836
ANKRD6,EPB41L3,False,4.928549,6.202836
ANKRD6,EPB41L5,False,3.4541116,3.1471398
ANKRD6,EPCAM,False,10.598224,14.004786
ANKRD6,EPHA4,False,4.928549,6.202836
ANKRD6,ERBB4,False,4.928549,6.202836
ANKRD6,ERCC6L,False,11.515125,15.355647
ANKRD6,ERCC8,False,9.595731,12.526112
ANKRD6,ESCO2,False,15.26924,18.84051
ANKRD6,ESRP1,False,17.712154,21.108221
ANKRD6,ETAA1,False,3.4541116,3.1471398
ANKRD6,ETV1,False,13.2059555,16.925207
ANKRD6,EXO1,False,4.928549,6.202836
ANKRD6,EXOC1,False,14.496336,18.123041
ANKRD6,EXOC2,False,15.132528,18.713606
ANKRD6,EXTL2,False,8.321184,10.646158
ANKRD6,FAM117B,False,20.001688,23.489864
ANKRD6,FAM118B,False,12.699683,16.455248
ANKRD6,FAM135A,False,18.298172,21.652205
ANKRD6,FAM160B1,False,4.928549,6.202836
ANKRD6,FAM172A,False,11.869217,15.684341
ANKRD6,FAM173B,False,12.799948,16.54832
ANKRD6,FAM206A,False,13.085632,16.813515
ANKRD6,FAM84B,False,11.76384,15.586523
ANKRD6,FAM89A,False,4.928549,6.202836
ANKRD6,FAM91A1,False,5.0780754,5.648427
ANKRD6,FANCB,False,4.928549,6.202836
ANKRD6,FANCM,False,5.7261953,6.8185577
ANKRD6,FAR2,False,8.91539,11.52261
ANKRD6,FARSB,False,17.721077,21.116499
ANKRD6,FASTKD1,False,11.740306,15.564678
ANKRD6,FASTKD3,False,9.084371,11.771855
ANKRD6,FASTKD5,False,17.028378,20.47348
ANKRD6,FBN1,False,4.928549,6.202836
ANKRD6,FBXL5,False,3.4541116,3.1471398
ANKRD6,FBXO11,False,7.187763,8.974366
ANKRD6,FBXO28,False,4.928549,6.202836
ANKRD6,FBXO3,False,3.4541116,3.1471398
ANKRD6,FBXO34,False,4.928549,6.202836
ANKRD6,FBXO5,False,14.720573,18.331194
ANKRD6,FER,False,8.91539,11.52261
ANKRD6,FEZ1,False,5.2082834,5.9030366
ANKRD6,FEZ2,False,4.681694,4.8733397
ANKRD6,FGF12,False,14.517284,18.142487
ANKRD6,FIGNL1,False,15.0968895,18.68052
ANKRD6,FLRT2,False,4.928549,6.202836
ANKRD6,FLRT3,False,4.928549,6.202836
ANKRD6,FMR1,False,10.843167,14.366077
ANKRD6,FN1,False,12.269545,16.055958
ANKRD6,FNDC3A,False,14.680785,18.294262
ANKRD6,FOS,False,4.928549,6.202836
ANKRD6,FOXO1,False,15.236949,18.810535
ANKRD6,FREM1,False,4.928549,6.202836
ANKRD6,FRS2,False,3.4541116,3.1471398
ANKRD6,FZD5,False,11.696339,15.523862
ANKRD6,GABPA,False,11.869217,15.684341
ANKRD6,GABRB2,False,4.928549,6.202836
ANKRD6,GABRB3,False,16.37482,19.866798
ANKRD6,GAD1,False,4.928549,6.202836
ANKRD6,GATA4,False,4.928549,6.202836
ANKRD6,GATA6,False,4.928549,6.202836
ANKRD6,GATM,False,7.956788,10.108674
ANKRD6,GCA,False,13.176234,16.897617
ANKRD6,GCLC,False,12.418459,16.194193
ANKRD6,GDAP1,False,4.1714067,3.8755202
ANKRD6,GDF3,False,10.175518,13.381299
ANKRD6,GEMIN2,False,8.431166,10.808379
ANKRD6,GFM1,False,13.930719,17.597994
ANKRD6,GFM2,False,4.928549,6.202836
ANKRD6,GLB1,False,11.268034,14.992751
ANKRD6,GLCCI1,False,4.681694,4.8733397
ANKRD6,GLDC,False,17.256968,20.685677
ANKRD6,GLIPR2,False,4.1714067,3.8755202
ANKRD6,GLMN,False,13.351139,17.059978
ANKRD6,GLRX,False,10.123528,13.304613
ANKRD6,GNAI1,False,4.928549,6.202836
ANKRD6,GNG11,False,4.928549,6.202836
ANKRD6,GNG12,False,4.928549,6.202836
ANKRD6,GNG2,False,4.928549,6.202836
ANKRD6,GOLGA5,False,5.0780754,5.648427
ANKRD6,GOLPH3L,False,3.4629178,3.1250458
ANKRD6,GOLT1B,False,17.528767,20.93798
ANKRD6,GOPC,False,14.16727,17.817575
ANKRD6,GPAM,False,3.4541116,3.1471398
ANKRD6,GPC3,False,8.826147,11.39098
ANKRD6,GPC6,False,3.4541116,3.1471398
ANKRD6,GPD2,False,4.928549,6.202836
ANKRD6,GPR180,False,12.66566,16.423664
ANKRD6,GPR22,False,4.928549,6.202836
ANKRD6,GPR75-ASB3,False,10.849751,14.37579
ANKRD6,GPR83,False,3.5402792,3.0410278
ANKRD6,GPR89A,False,12.182725,15.975367
ANKRD6,GPR89B,False,7.716503,9.754255
ANKRD6,GPSM2,False,4.928549,6.202836
ANKRD6,GRPEL2,False,6.568061,8.060306
ANKRD6,GRPR,False,4.928549,6.202836
ANKRD6,GTF2B,False,3.4541116,3.1471398
ANKRD6,GTF2H1,False,13.979235,17.643028
ANKRD6,GTF3C3,False,7.187763,8.974366
ANKRD6,GTPBP8,False,11.268034,14.992751
ANKRD6,GYG1,False,15.07876,18.663692
ANKRD6,GYPA,False,4.928549,6.202836
ANKRD6,GYPB,False,4.928549,6.202836
ANKRD6,GYPE,False,3.4541116,3.1471398
ANKRD6,HACL1,False,14.333427,17.971815
ANKRD6,HAND1,False,4.928549,6.202836
ANKRD6,HAPLN1,False,4.928549,6.202836
ANKRD6,HAS2,False,4.928549,6.202836
ANKRD6,HBP1,False,11.268034,14.992751
ANKRD6,HDHD2,False,11.860758,15.67649
ANKRD6,HEG1,False,4.928549,6.202836
ANKRD6,HEPH,False,5.4022365,6.282295
ANKRD6,HERC4,False,4.928549,6.202836
ANKRD6,HERPUD1,False,4.928549,6.202836
ANKRD6,HIBCH,False,16.083397,19.596275
ANKRD6,HLA-DQB1,False,4.928549,6.202836
ANKRD6,HLA-DRB1,False,4.928549,6.202836
ANKRD6,HMGN4,False,12.766824,16.51757
ANKRD6,HMMR,False,4.681694,4.8733397
ANKRD6,HNRNPH2,False,11.624897,15.457547
ANKRD6,HOMER1,False,10.956746,14.533606
ANKRD6,HPRT1,False,10.419603,13.74132
ANKRD6,HPS3,False,4.1714067,3.8755202
ANKRD6,HSD17B11,False,14.77948,18.385878
ANKRD6,HSDL1,False,4.928549,6.202836
ANKRD6,HSF2,False,4.928549,6.202836
ANKRD6,HSPA13,False,11.202311,14.895811
ANKRD6,HTRA1,False,3.4541116,3.1471398
ANKRD6,ID2,False,12.034494,15.837767
ANKRD6,IDE,False,15.258106,18.830175
ANKRD6,IDH3A,False,14.302372,17.942987
ANKRD6,IFI16,False,4.928549,6.202836
ANKRD6,IFT52,False,3.4541116,3.1471398
ANKRD6,IFT57,False,8.536262,10.963396
ANKRD6,IFT74,False,12.176889,15.96995
ANKRD6,IGDCC4,False,17.414803,20.83219
ANKRD6,IL6ST,False,5.5142565,6.5013385
ANKRD6,ING3,False,16.633394,20.106825
ANKRD6,INSIG2,False,4.928549,6.202836
ANKRD6,INTS6,False,8.08459,10.297183
ANKRD6,INTS8,False,5.1647987,5.8180065
ANKRD6,IPO11,False,13.351423,17.060244
ANKRD6,IPO8,False,13.856752,17.52933
ANKRD6,IQCB1,False,3.4541116,3.1471398
ANKRD6,IRF2BP2,False,10.015993,13.145997
ANKRD6,ISCA1,False,4.1714067,3.8755202
ANKRD6,ITFG1,False,4.1714067,3.8755202
ANKRD6,ITGA5,False,3.4541116,3.1471398
ANKRD6,ITGA6,False,12.799948,16.54832
ANKRD6,ITM2A,False,11.696339,15.523862
ANKRD6,JAK1,False,6.9986696,8.695455
ANKRD6,JPH1,False,10.919491,14.478651
ANKRD6,KAT7,False,14.235428,17.880846
ANKRD6,KBTBD2,False,4.928549,6.202836
ANKRD6,KBTBD8,False,4.928549,6.202836
ANKRD6,KCTD6,False,4.928549,6.202836
ANKRD6,KCTD9,False,6.041277,7.283302
ANKRD6,KDELR3,False,4.928549,6.202836
ANKRD6,KDR,False,3.4629178,3.1250458
ANKRD6,KIAA0391,False,11.606823,15.440767
ANKRD6,KIAA0586,False,12.282434,16.067923
ANKRD6,KIAA1324L,False,4.928549,6.202836
ANKRD6,KIAA1586,False,13.200327,16.919983
ANKRD6,KIF14,False,3.5063095,3.0161803
ANKRD6,KIF15,False,13.730662,17.412283
ANKRD6,KIF18A,False,4.1714067,3.8755202
ANKRD6,KIF20A,False,10.640848,14.067657
ANKRD6,KIF21A,False,15.752617,19.28922
ANKRD6,KIF23,False,16.963543,20.413298
ANKRD6,KIF4A,False,4.928549,6.202836
ANKRD6,KIT,False,7.6784062,9.698065
ANKRD6,KLF10,False,8.826147,11.39098
ANKRD6,KLF3,False,4.1714067,3.8755202
ANKRD6,KLF8,False,5.001823,5.4993234
ANKRD6,KLHL12,False,11.826736,15.644908
ANKRD6,KLHL24,False,4.2352285,4.000318
ANKRD6,KLHL28,False,16.698744,20.167488
ANKRD6,KLHL4,False,4.928549,6.202836
ANKRD6,KLHL6,False,4.3933043,4.3094206
ANKRD6,KLHL9,False,13.26412,16.979202
ANKRD6,KNTC1,False,9.16454,11.890107
ANKRD6,KRCC1,False,11.268034,14.992751
ANKRD6,LACTB2,False,4.928549,6.202836
ANKRD6,LANCL1,False,16.035576,19.551882
ANKRD6,LCOR,False,4.1714067,3.8755202
ANKRD6,LCORL,False,3.480401,3.0811818
ANKRD6,LGALSL,False,4.928549,6.202836
ANKRD6,LGR4,False,7.5258884,9.4731
ANKRD6,LGR5,False,4.928549,6.202836
ANKRD6,LHX1,False,4.928549,6.202836
ANKRD6,LIFR,False,3.4541116,3.1471398
ANKRD6,LIMCH1,False,4.928549,6.202836
ANKRD6,LIPA,False,3.4541116,3.1471398
ANKRD6,LIPG,False,4.0236936,3.6102247
ANKRD6,LMBRD1,False,11.268034,14.992751
ANKRD6,LPGAT1,False,4.9104934,5.3207364
ANKRD6,LPIN1,False,13.678286,17.363663
ANKRD6,LRBA,False,4.681694,4.8733397
ANKRD6,LRIF1,False,4.928549,6.202836
ANKRD6,LRIG3,False,4.928549,6.202836
ANKRD6,LRR1,False,8.636887,11.111819
ANKRD6,LRRC40,False,14.027132,17.687489
ANKRD6,LRRCC1,False,10.554816,13.94076
ANKRD6,LTBP1,False,15.776606,19.31149
ANKRD6,LTN1,False,3.4541116,3.1471398
ANKRD6,LUM,False,4.928549,6.202836
ANKRD6,LYPLAL1,False,8.91539,11.52261
ANKRD6,LYRM1,False,4.928549,6.202836
ANKRD6,LYSMD3,False,5.0780754,5.648427
ANKRD6,MAGI3,False,4.681694,4.8733397
ANKRD6,MAL2,False,15.79732,19.330715
ANKRD6,MALT1,False,14.097855,17.75314
ANKRD6,MAMLD1,False,4.928549,6.202836
ANKRD6,MAN1A1,False,4.928549,6.202836
ANKRD6,MANEA,False,3.4541116,3.1471398
ANKRD6,MAP3K1,False,10.465537,13.809074
ANKRD6,MAP4K3,False,4.1714067,3.8755202
ANKRD6,MATN3,False,4.928549,6.202836
ANKRD6,MB21D2,False,4.1714067,3.8755202
ANKRD6,MBIP,False,6.319297,7.6933794
ANKRD6,MBOAT1,False,13.904997,17.574114
ANKRD6,MCC,False,4.928549,6.202836
ANKRD6,MCCC1,False,6.319297,7.6933794
ANKRD6,MCM2,False,13.463381,17.16417
ANKRD6,MED21,False,15.661124,19.204288
ANKRD6,MELK,False,12.11449,15.912023
ANKRD6,MEMO1,False,5.0780754,5.648427
ANKRD6,MEPE,False,4.928549,6.202836
ANKRD6,METTL14,False,4.681694,4.8733397
ANKRD6,METTL18,False,11.168753,14.846313
ANKRD6,MEX3C,False,6.319297,7.6933794
ANKRD6,MFAP3,False,15.306173,18.874794
ANKRD6,MFAP4,False,4.681694,4.8733397
ANKRD6,MFN1,False,4.928549,6.202836
ANKRD6,MIA3,False,10.015993,13.145997
ANKRD6,MID1,False,12.192817,15.984733
ANKRD6,MIER3,False,8.73341,11.254189
ANKRD6,MINPP1,False,8.431166,10.808379
ANKRD6,MIS12,False,13.52453,17.220934
ANKRD6,MLH1,False,11.651846,15.482562
ANKRD6,MLH3,False,11.484673,15.312296
ANKRD6,MLLT3,False,6.9986696,8.695455
ANKRD6,MME,False,4.928549,6.202836
ANKRD6,MMGT1,False,3.4541116,3.1471398
ANKRD6,MMP16,False,4.681694,4.8733397
ANKRD6,MOCS2,False,4.928549,6.202836
ANKRD6,MORC3,False,4.681694,4.8733397
ANKRD6,MORN2,False,4.928549,6.202836
ANKRD6,MOSPD1,False,4.928549,6.202836
ANKRD6,MOSPD2,False,3.4541116,3.1471398
ANKRD6,MPHOSPH9,False,11.268034,14.992751
ANKRD6,MPP5,False,4.1714067,3.8755202
ANKRD6,MRPL1,False,10.015993,13.145997
ANKRD6,MRPS30,False,9.460546,12.3267145
ANKRD6,MRS2,False,3.4541116,3.1471398
ANKRD6,MSANTD3-TMEFF1,False,10.019291,13.150861
ANKRD6,MSANTD4,False,4.928549,6.202836
ANKRD6,MTMR2,False,17.899277,21.281916
ANKRD6,MTMR6,False,7.187763,8.974366
ANKRD6,MTRR,False,17.69425,21.091595
ANKRD6,MYD88,False,4.928549,6.202836
ANKRD6,MYNN,False,13.826755,17.50148
ANKRD6,MYO6,False,9.924014,13.010326
ANKRD6,MYOCD,False,4.928549,6.202836
ANKRD6,NAA30,False,4.928549,6.202836
ANKRD6,NAB1,False,7.6784062,9.698065
ANKRD6,NANOG,False,16.412737,19.901997
ANKRD6,NAP1L3,False,11.235398,14.944618
ANKRD6,NBEA,False,10.070371,13.226206
ANKRD6,NBN,False,15.305832,18.874477
ANKRD6,NBR1,False,6.986829,8.67799
ANKRD6,NCAM1,False,10.843167,14.366077
ANKRD6,NCAPG,False,15.305325,18.874008
ANKRD6,NDC80,False,12.074703,15.875092
ANKRD6,NDFIP2,False,13.322547,17.033438
ANKRD6,NDUFC2-KCTD14,False,15.208381,18.784014
ANKRD6,NECAB1,False,8.434387,10.813132
ANKRD6,NECAP1,False,13.351139,17.059978
ANKRD6,NEDD1,False,4.928549,6.202836
ANKRD6,NEDD4,False,4.928549,6.202836
ANKRD6,NEDD9,False,4.928549,6.202836
ANKRD6,NEK1,False,4.928549,6.202836
ANKRD6,NEK3,False,3.4541116,3.1471398
ANKRD6,NETO2,False,3.4541116,3.1471398
ANKRD6,NFE2L2,False,5.4022365,6.282295
ANKRD6,NFIB,False,16.110844,19.621754
